Number,Done,Text ID,Transliteration ID,,,First round,Second round
A000925,,,,,,,
A000926,,,,,,,
A000927,,,,,,,
A000928,,,,,,,
A000929,,,,,,,
A000930,,,,,,,
A000931,,,,,,,
A000932,,,,,,,
A000933,,,,,,,
A000934,,,,,,,
A000935,,,,,,,
A000936,,,,,,,
A000937,,,,,,,
A000938,,,,,,,
A000939,,,,,,,
A000940,,,,,,,
A000941,,,,,,,
A000942,,,,,,,
A000943,,,,,,,
A000944,,,,,,,
A000945,,,,,,,
A000946,,,,,,,
A000947,,,,,,,
A000948,,,,,,,
A000949,,,,,,,
A000950,,,,,,,
A000951,,,,,,,
A000952,,,,,,,
A000953,,,,,,,
A000954,,,,,,,
A000955,,,,,,,
A000956,,,,,,,
A000957,,,,,,,
A000958,,,,,,,
A000959,,,,,,,
A000960,,,,,,,
A000961,,,,,,,
A000962,,,,,,,
A000963,,,,,,,
A000964,,,,,,,
A000965,,,,,,,
A000966,,,,,,,
A000967,,,,,,,
A000968,,,,,,,
A000969,,,,,,,
A000970,,,,,,,
A000971,,,,,,,
A000972,,,,,,,
A000973,,,,,,,
A000974,,,,,,,
A000975,,,,,,,
A000976,,,,,,,
A000977,,,,,,,
A000978,,,,,,,
A000979,,,,,,,
A000980,,,,,,,
A000981,,,,,,,
A000982,,,,,,,
A000983,,,,,,,
A000984,,,,,,,
A000985,,,,,,,
A000986,,,,,,,
A000987,,,,,,,
A000988,,,,,,,
A000989,,,,,,,
A000990,,,,,,,
A000991,,,,,,,
A000993,,,,,,,
A000994,,,,,,,
A000995,,,,,,,
A000996,,,,,,,
A000997,,,,,,,
A000998,,,,,,,
A000999,,,,,,,
A001000,,,,,,,
A001001,,,,,,,
A001002,,,,,,,
A001003,,,,,,,
A001004,,,,,,,
A001005,,,,,,,
A001006,,,,,,,
A001007,,,,,,,
A001008,,,,,,,
A001009,,,,,,,
A001010,,,,,,,
A001011,,,,,,,
A001012,,,,,,,
A001013,,,,,,,
A001014,,,,,,,
A001015,,,,,,,
A001016,,,,,,,
A001017,,,,,,,
A001018,,,,,,,
A001019,,,,,,,
A001020,,,,,,,
A001021,,,,,,,
A001022,,,,,,,
A001023,,,,,,,
A001024,,,,,,,
A001025,,,,,,,
A001026,,,,,,,
A001027,,,,,,,
A001028,,,,,,,
A001030,,,,,,,
A001031,,,,,,,
A001032,,,,,,,
A001033,,,,,,,
A001034,,,,,,,
A001035,,,,,,,
A001036,,,,,,,
A001037,,,,,,,
A001038,,,,,,,
A001039,,,,,,,
A001040,,,,,,,
A001042,,,,,,,
A001043,,,,,,,
A001044,,,,,,,
A001045,,,,,,,
A001046,,,,,,,
A001047,,,,,,,
A001048,,,,,,,
A001049,,,,,,,
A001050,,,,,,,
A001051,,,,,,,
A001052,,,,,,,
A001053,,,,,,,
A001054,,,,,,,
A001055,,,,,,,
A001056,,,,,,,
A001057,,,,,,,
A001058,,,,,,,
A001059,,,,,,,
A001060,,,,,,,
A001061,,,,,,,
A001062,,,,,,,
A001063,,,,,,,
A001064,,,,,,,
A001065,,,,,,,
A001066,,,,,,,
A001067,,,,,,,
A001068,,,,,,,
A001069,,,,,,,
A001070,,,,,,,
A001071,,,,,,,
A001072,,,,,,,
A001073,,,,,,,
A001074,,,,,,,
A001075,,,,,,,
A001076,,,,,,,
A001077,,,,,,,
A001078,,,,,,,
A001079,,,,,,,
A001080,,,,,,,
A001081,,,,,,,
A001082,,,,,,,
A001083,,,,,,,
A001084,,,,,,,
A001085,,,,,,,
A001086,,,,,,,
A001087,,,,,,,
A001088,,,,,,,
A001089,,,,,,,
A001090,,,,,,,
A001091,,,,,,,
A001092,,,,,,,
A001093,,,,,,,
A001094,,,,,,,
A001095,,,,,,,
A001096,,,,,,,
A001097,,,,,,,
A001098,,,,,,,
A001099,,,,,,,
A001100,,,,,,,
A001101,,,,,,,
A001102,,,,,,,
A001103,,,,,,,
A001104,,,,,,,
A001105,,,,,,,
A001106,,,,,,,
A001107,,,,,,,
A001108,,,,,,,
A001109,,,,,,,
A001110,,,,,,,
A001111,,,,,,,
A001112,,,,,,,
A001113,,,,,,,
A001114,,,,,,,
A001115,,,,,,,
A001116,,,,,,,
A001117,,,,,,,
A001118,,,,,,,
A001119,,,,,,,
A001120,,,,,,,
A001121,,,,,,,
A001122,,,,,,,
A001123,,,,,,,
A001124,,,,,,,
A001125,,,,,,,
A001126,,,,,,,
A001127,,,,,,,
A001128,,,,,,,
A001129,,,,,,,
A001130,,,,,,,
A001131,,,,,,,
A001132,,,,,,,
A001133,,,,,,,
A001134,,,,,,,
A001135,,,,,,,
A001136,,,,,,,
A001137,,,,,,,
A001138,,,,,,,
A001139,,,,,,,
A001140,,,,,,,
A001141,,,,,,,
A001142,,,,,,,
A001143,,,,,,,
A001144,,,,,,,
A001145,,,,,,,
A001146,,,,,,,
A001147,,,,,,,
A001148,,,,,,,
A001149,,,,,,,
A001150,,,,,,,
A001151,,,,,,,
A001152,,,,,,,
A001153,,,,,,,
A001154,,,,,,,
A001155,,,,,,,
A001156,,,,,,,
A001157,,,,,,,
A001158,,,,,,,
A001159,,,,,,,
A001160,,,,,,,
A001161,,,,,,,
A001162,,,,,,,
A001163,,,,,,,
A001164,,,,,,,
A001165,,,,,,,
A001166,,,,,,,
A001167,,,,,,,
A001168,,,,,,,
A001169,,,,,,,
A001170,,,,,,,
A001171,,,,,,,
A001172,,,,,,,
A001173,,,,,,,
A001174,,,,,,,
A001175,,,,,,,
A001176,,,,,,,
A001177,,,,,,,
A001178,,,,,,,
A001179,,,,,,,
A001180,,,,,,,
A001181,,,,,,,
A001182,,,,,,,
A001183,,,,,,,
A001184,,,,,,,
A001185,,,,,,,
A001186,,,,,,,
A001187,,,,,,,
A001188,,,,,,,
